ticker,adv
AAPL,41298315.0
ABBV,7684325.0
ABNB,4160980.0
ABT,12622740.0
ACN,8580225.0
ADBE,6729520.0
ADI,4109940.0
ADP,4432975.0
ADSK,2379430.0
AEP,4024995.0
AIG,4684610.0
AJG,2318115.0
AKAM,4624255.0
ALB,2152590.0
AMAT,6947835.0
AMD,32761555.0
AME,1594760.0
AMGN,2745805.0
AMT,3393705.0
AMZN,45337245.0
ANET,6581440.0
AON,1443835.0
APA,10564960.0
APD,1515740.0
APH,10331830.0
APO,7071120.0
APP,5036215.0
ARES,4632680.0
AVGO,30461610.0
AXON,924925.0
AXP,4426820.0
AZO,157250.0
BA,7524695.0
BAC,47091850.0
BBY,5651100.0
BDX,2697930.0
BK,3532550.0
BKNG,417570.0
BKR,11573780.0
BLK,1046175.0
BMY,14720325.0
BSX,12951460.0
BX,11645440.0
C,16389555.0
CAH,2003835.0
CARR,6680805.0
CAT,2820050.0
CB,1914335.0
CCL,30396985.0
CDNS,2509855.0
CEG,3056555.0
CF,7163530.0
CI,1857215.0
CIEN,3472660.0
CL,6786150.0
CMCSA,37948710.0
CME,2362610.0
CMG,16996985.0
CMI,907485.0
COF,5782390.0
COHR,10610220.0
COIN,12973760.0
COP,12154250.0
COR,1430940.0
COST,1863570.0
CPRT,9545930.0
CRH,6301975.0
CRM,14465955.0
CRWD,4380150.0
CSCO,24343895.0
CSX,13032800.0
CTAS,2548275.0
CTRA,12488925.0
CTSH,6928295.0
CTVA,4348260.0
CVNA,2906375.0
CVS,8327880.0
CVX,15013515.0
DAL,15863200.0
DASH,3916570.0
DDOG,4697205.0
DE,1378150.0
DELL,11063710.0
DG,3694405.0
DHI,2768305.0
DHR,4038160.0
DIS,11903125.0
DLR,1999225.0
DLTR,3179615.0
DOW,16084465.0
DPZ,1033055.0
DRI,1726360.0
DUK,4918060.0
DVN,18855420.0
EA,2477045.0
EBAY,5166265.0
ECL,1741440.0
EL,5484605.0
ELV,2550390.0
EMR,2957285.0
EOG,6219125.0
EQIX,683520.0
EQT,9412105.0
ETN,2781285.0
EW,4640870.0
EXC,9813630.0
EXE,4319565.0
EXPE,2676725.0
F,65173140.0
FANG,4010255.0
FAST,8441050.0
FCX,19964975.0
FDX,2231585.0
FICO,400120.0
FISV,6486040.0
FITB,11173645.0
FIX,453405.0
FSLR,2016985.0
FTNT,6127715.0
GD,1325875.0
GE,5509185.0
GEV,2653770.0
GILD,6788775.0
GIS,10270130.0
GLW,14228095.0
GM,8434780.0
GOOG,20164475.0
GOOGL,29901385.0
GS,2613420.0
HAL,18118690.0
HBAN,29949345.0
HCA,1184955.0
HD,4271835.0
HLT,1995535.0
HON,4133040.0
HOOD,26860065.0
HPE,21305615.0
HPQ,19094810.0
HSY,1710970.0
HWM,2476120.0
IBKR,5164855.0
IBM,5995980.0
ICE,3581830.0
INTC,85031610.0
INTU,4397245.0
IQV,1978990.0
ISRG,1626870.0
ITW,1369305.0
JBL,1403375.0
JCI,4321510.0
JNJ,8320575.0
JPM,11326985.0
KEY,17257915.0
KEYS,1806455.0
KHC,17509365.0
KKR,9165380.0
KLAC,1063720.0
KMB,5136310.0
KMI,14597890.0
KO,17374045.0
KR,7869865.0
KVUE,25838705.0
LHX,1584695.0
LIN,2866950.0
LITE,7655160.0
LLY,2883275.0
LMT,1884785.0
LOW,2788330.0
LRCX,11127455.0
LULU,3095645.0
LUV,10429005.0
LYB,10516385.0
LYV,3197975.0
MA,3453360.0
MAR,1595085.0
MCD,3244515.0
MCHP,8959610.0
MCK,782995.0
MCO,1520860.0
MDLZ,10996500.0
MDT,8195615.0
META,12861690.0
MLM,627160.0
MMM,4536070.0
MNST,6550130.0
MO,10363925.0
MOS,12758710.0
MPC,3313060.0
MPWR,559385.0
MRK,10905460.0
MRNA,9036055.0
MRSH,3041885.0
MS,7794570.0
MSFT,33309805.0
MSI,1130745.0
MU,41967495.0
NCLH,23963955.0
NEE,11099560.0
NEM,12460855.0
NFLX,52209875.0
NKE,15743255.0
NOC,879415.0
NOW,17436970.0
NRG,3436320.0
NSC,1313335.0
NVDA,195253060.0
NXPI,2658740.0
O,6853005.0
ODFL,2423745.0
OKE,5468430.0
OMC,4952935.0
ON,7390100.0
ORCL,29929610.0
ORLY,6324795.0
OTIS,4149715.0
OXY,21309280.0
PANW,8143770.0
PAYX,4642175.0
PCAR,3048650.0
PCG,24735315.0
PEP,6567835.0
PFE,42206020.0
PG,11723625.0
PGR,3295710.0
PH,897785.0
PLD,3639510.0
PLTR,49676035.0
PM,5351785.0
PNC,2939140.0
PSA,1371385.0
PSX,3904770.0
PWR,1176955.0
PYPL,20298955.0
QCOM,13046540.0
RCL,2867400.0
REGN,626255.0
RF,16327730.0
ROK,1035670.0
ROP,1447115.0
ROST,3159865.0
RTX,6367000.0
SATS,7668125.0
SBUX,8376800.0
SCHW,9048975.0
SHW,1761355.0
SLB,21491600.0
SMCI,44442420.0
SNDK,18797270.0
SNPS,2398440.0
SO,5617520.0
SPG,1839720.0
SPGI,2339600.0
SRE,3701750.0
STX,3691690.0
SYK,2220610.0
T,45497245.0
TDG,399400.0
TEL,2366050.0
TER,3585110.0
TFC,10028560.0
TGT,6989445.0
TJX,4829165.0
TMO,2195255.0
TMUS,5555610.0
TRGP,1658295.0
TRV,1550570.0
TSLA,60595250.0
TT,1339045.0
TTD,25589630.0
TTWO,2019550.0
TXN,6639585.0
UAL,9424290.0
UBER,18960535.0
ULTA,934330.0
UNH,8886020.0
UNP,3010090.0
UPS,7738695.0
URI,652875.0
USB,11292935.0
V,7339050.0
VLO,4945285.0
VMC,1501955.0
VRSK,1954975.0
VRT,11758580.0
VRTX,1463210.0
VST,4896560.0
VZ,27508860.0
WAT,1206170.0
WBD,30719180.0
WDAY,5636950.0
WDC,9045050.0
WELL,3467345.0
WFC,20281285.0
WM,2336390.0
WMB,6679745.0
WMT,21645595.0
XEL,4585600.0
XOM,24255820.0
XYZ,10685265.0
ZTS,4435635.0
