simulation_id,method,sharpe,total_return,max_drawdown,win_rate,profit_factor,ic
1,execution_delay,0.32216797678104264,0.017495399999999935,-0.03270622466710419,0.3333333333333333,1.1543072297392052,-0.06262520029740914
2,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
3,execution_delay,-0.8777138403571547,-0.020588800000000046,-0.04137094677002332,0.2828282828282828,0.8468580711433167,-0.21118160901330735
4,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
5,shuffle,0.16893245900887227,0.01763509999999995,-0.027865341245422712,0.3504273504273504,1.13720012198955,-0.10465941467292861
6,execution_delay,0.32216797678104264,0.017495399999999935,-0.03270622466710419,0.3333333333333333,1.1543072297392052,-0.06262520029740914
7,bootstrap,-0.49151670207302567,-0.011447899999999936,-0.031093300000000018,0.36752136752136755,0.9121131790694263,0.013168456902909615
8,bootstrap,-0.40770157837430904,-0.013678999999999941,-0.03698716521306722,0.3418803418803419,0.8903575742565133,-0.17873215207361304
9,execution_delay,-0.8777138403571547,-0.020588800000000046,-0.04137094677002332,0.2828282828282828,0.8468580711433167,-0.21118160901330735
10,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
11,bootstrap,1.4903071546145787,0.07900449999999998,-0.02133339048338457,0.41025641025641024,1.7629849748808746,-0.18947333432912775
12,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
13,signal_noise,-0.6966645629714793,0.003408500000000058,-0.036178263086049725,0.3153846153846154,1.0282435783872201,-0.008778101033836538
14,shuffle,0.16893245900887252,0.01763509999999995,-0.0344972413491366,0.3504273504273504,1.13720012198955,-0.10465941467292857
15,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
16,bootstrap,-1.534165023172162,-0.03172419999999998,-0.06156538837170691,0.28205128205128205,0.7730445208811461,-0.10294370361359971
17,shuffle,0.16893245900887252,0.01763509999999995,-0.03199502332988056,0.3504273504273504,1.1372001219895498,-0.10465941467292857
18,shuffle,0.1689324590088726,0.01763509999999995,-0.03251259901499145,0.3504273504273504,1.1372001219895498,-0.10465941467292857
19,bootstrap,-0.5979047664758557,-0.01982029999999999,-0.04779839545931287,0.3418803418803419,0.8610974258560915,-0.06431780505077624
20,shuffle,0.16893245900887247,0.01763509999999995,-0.027825085515690164,0.3504273504273504,1.1372001219895498,-0.10465941467292857
21,bootstrap,0.21616813680000396,0.03305649999999994,-0.051441821396539245,0.36752136752136755,1.2399873096723093,0.016580407544656613
22,shuffle,0.16893245900887233,0.01763509999999995,-0.02731881648279686,0.3504273504273504,1.1372001219895498,-0.10465941467292857
23,signal_noise,-0.21015527011281385,0.01293179999999993,-0.027378098875555715,0.3308270676691729,1.104940630799279,-0.035972852994586586
24,signal_noise,0.057549062144989865,0.003263500000000058,-0.03327390272432181,0.3253968253968254,1.027199402551658,-0.07678712106481073
25,bootstrap,-0.7186546379234767,-0.00417070000000007,-0.02215515551246448,0.29914529914529914,0.9699366324443903,-0.08298354177440227
26,execution_delay,-0.8777138403571547,-0.020588800000000046,-0.04137094677002332,0.2828282828282828,0.8468580711433167,-0.21118160901330735
27,bootstrap,0.05934059156395917,0.030407200000000013,-0.027013749519097695,0.3076923076923077,1.2218918956391784,-0.218895837395888
28,shuffle,0.1689324590088724,0.01763509999999995,-0.03399964744481498,0.3504273504273504,1.1372001219895502,-0.10465941467292861
29,shuffle,0.16893245900887252,0.01763509999999995,-0.02785773525962449,0.3504273504273504,1.1372001219895498,-0.10465941467292857
30,shuffle,0.16893245900887263,0.01763509999999995,-0.0254385271274089,0.3504273504273504,1.13720012198955,-0.10465941467292858
31,bootstrap,-0.019946528236742294,-0.0020375,-0.038106406941443814,0.3333333333333333,0.9851819690563153,0.03967696343589332
32,bootstrap,0.8186608166732732,0.05474529999999999,-0.032839446981434456,0.38461538461538464,1.457217473804827,-0.10009618179137017
33,bootstrap,-0.23911462983328302,-0.0009566999999999825,-0.03499023408120178,0.3162393162393162,0.993326832453064,-0.1726995609212434
34,signal_noise,-1.4527920856257797,-0.009893600000000006,-0.04514151556021782,0.288,0.9215789164963767,0.0628696734948287
35,execution_delay,0.32216797678104264,0.017495399999999935,-0.03270622466710419,0.3333333333333333,1.1543072297392052,-0.06262520029740914
36,bootstrap,0.6093465149399737,0.03854929999999993,-0.03245828834494917,0.39316239316239315,1.3133363407665704,-0.1956445949474135
37,execution_delay,-0.8777138403571547,-0.020588800000000046,-0.04137094677002332,0.2828282828282828,0.8468580711433167,-0.21118160901330735
38,signal_noise,0.06598751956283563,0.007095599999999977,-0.029984040699457155,0.3488372093023256,1.059458671363477,0.03491185161554012
39,signal_noise,-0.05012262873321361,0.02636279999999999,-0.027021462552265996,0.36036036036036034,1.260560456873563,0.05071116162926235
40,bootstrap,1.0812121812536015,0.06033779999999999,-0.025937556309669704,0.358974358974359,1.479594626818218,-0.06988318942786126
41,bootstrap,1.0014740230404806,0.08806979999999996,-0.026210809095195995,0.37606837606837606,1.7214690575333353,-0.03342996488093845
42,signal_noise,-0.2167806199314953,0.01179479999999996,-0.03178607160660929,0.3333333333333333,1.0982916916327978,0.03399506813713412
43,bootstrap,0.9477797636566611,0.052757100000000064,-0.014754206871053067,0.4188034188034188,1.474705002672387,-0.09766045367930058
44,shuffle,0.16893245900887244,0.01763509999999995,-0.03663490210711922,0.3504273504273504,1.1372001219895498,-0.10465941467292857
45,bootstrap,0.07197522924915864,0.022265599999999976,-0.025827101784154444,0.38461538461538464,1.1886341358857773,-0.2914051367570421
46,signal_noise,0.9372862730433752,0.020377899999999935,-0.027893295095658927,0.4074074074074074,1.1811146652777862,0.0759318524376105
47,shuffle,0.16893245900887235,0.01763509999999995,-0.03226228478727295,0.3504273504273504,1.13720012198955,-0.10465941467292858
48,bootstrap,0.3397364437845691,0.04167679999999993,-0.015046983715473625,0.3418803418803419,1.3276681492010904,0.018006211545911078
49,shuffle,0.1689324590088724,0.01763509999999995,-0.018272148379690843,0.3504273504273504,1.1372001219895498,-0.10465941467292857
50,execution_delay,0.32216797678104264,0.017495399999999935,-0.03270622466710419,0.3333333333333333,1.1543072297392052,-0.06262520029740914
